Domaine d'intervention;STRUCTURE PORTEUSE;ESPACE/LIEUX/SERVICE;ADRESSE;CP;VILLE;INTITULE ACTION;Coordonnées Référent;DESCRIPTION;METHODE ET OUTILS;MODE D'INTERVENTION;PUBLIC CIBLE;SITE INTERNET
INSERTION ET FORMATION PROFESSIONNELLE;AssoDev-MarsNet;Mesclun;14 rue Berlioz;13006;Marseille;;Tel:  06 84 04 37 01 Mail: assodev@marsnet.org;Numérique solidaire ;"2 salles de formation 
12 postes informatiques récents 
Un vidéo projecteur, un tableau blanc et un paperboard
";Formation;TPE/PME de l'ESS, acteurs d'activités solidaires,  sociales ou citoyennes : associations, collectifs, ESS, bénévoles;
INSERTION ET FORMATION PROFESSIONNELLE;Maison de l’emploi du Pays d’Arles;;4, avenue de Plaisance ;13310;Saint Martin de Crau;;Tel: 06 51 45 28 70 Mail: timothee.lauzet@mdepaysdarles.fr;;"PC fixe et PC portable sous windows 10 ou Vista
Imprimante / scaner
";"• Accompagnement individuel lors d’ateliers (maximum 4 participants par atelier) d’initiation.
• Libre accès
";Demandeurs d’emploi;
INSERTION ET FORMATION PROFESSIONNELLE;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";Service des Espaces Publics Numériques;Rond point de l'Hotel de ville BP 90104;13693;Martigues Cedex;Chantiers d'insertion;Tel: 04 42 49 45 98 Mail: christine.bataglia@paysdemartigues.fr, souad.belagrouz@paysdemartigues.fr;"Mise en place de modules entre 5 et 10 séances avec les contenus suivant :
- Découverte de l'ordinateur
- Utilisation d'un traitement de texte
- Mettre en forme son CV
- Utiliser Internet efficacement (exemple de site utile pour une recherche d'emploi, du bon usage des réseaux sociaux)
- Créer et bien gérer sa Boite au lettre électronique
- La déclaration trimestrielle à la CAF et demande de prime d'activité
- Le compte personne de formation
- le site de pôle emploi et l'emploi store
- Le site AMELI
";"Atelier pratique – Méthodes actives
1 Salle informatique, 8 ordinateurs, 1 imprimante
1 pc portable + un vidéo projecteur + 1 écran
";Accompagnement de groupe;"Salariés en contrat d'insertion
8 personnes / séance
";
INSERTION ET FORMATION PROFESSIONNELLE;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN de la Médiathèque de Martigues;Quai des Anglais;13500;Martigues;Atelier « Création du CV fond et forme »;;;"Ateliers collectifs
Pratique en situation
";Activités;Demandeurs d'emplois inscrits à Pôle Emploi;
INSERTION ET FORMATION PROFESSIONNELLE;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Maison des Services aux Publics;Rue Charles Nedelec;13110;Port-de-Bouc;Emploi;Tel: 04 42 40 65 12 Mail: elodie.gues@paysdemartigues.fr;"Atelier « Création du CV fond et forme »
Atelier « Comment postuler en ligne »
Atelier « création du Compte Personnel de Formation en ligne »
";"Ateliers collectifs, 6 personnes
Pratique en situation
";Activités;Demandeurs d'emplois inscrits à Pôle Emploi;
INSERTION ET FORMATION PROFESSIONNELLE;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Maison de la Formation de Martigues;Quai Lucien Toulmond;13500;Martigues;Garantie Jeunes;Tel: 04 42 49 45 98 Mail: souad.belagrouz@paysdemartigues.fr, vincent.laroche@paysdemartigues.fr;"Création d'un email professionnel (gmail pour tous)
- Inscription sur le site de pôle emploi
- Création d'un espace personnel sur le site de pôle emploi
- Initiation à libre office (writter) pour la préparation à la frappe du CV et de la lettre de motivation
- Frappe du CV et de la lettre de motivation
- Création d'un compte CPF (Compte Personnel de Formation)
- Insertion du CV dans le site de pôle emploi
- Recherches d'offres d'emploi
- Exercices sur la mobilité – site « le pilote »
D'autres thématiques peuvent être rajouté en fonction des besoins.
";Méthodes actives;Ateliers collectifs 8 à 10 Personnes par groupe;Jeunes suivis dans le cadre du programme « garantie jeunes » de la Mission Locale de Martigues;
INSERTION ET FORMATION PROFESSIONNELLE;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";Service des Espaces Publics Numériques;Rond point de l'Hotel de ville BP 90104;13693;Martigues Cedex;Préparer et passer le P.I.M.;"Tel: 04 42 80 27 97 Mail: yamina.jelassi@paysdemartigues.fr, vincent.laroche@paysdemartigues.fr
";"Utiliser un équipement informatique en autonomie, Réussir à créer et exploiter un document numérique, Prendre conscience des bons usages d'Internet et adopter la bonne attitude, Utiliser les services de base (Réaliser des recherches, échanger, télécharger un logiciel), Acquérir un minimum de vocabulaire spécifique
";"Méthodes actives
Atelier de pratiques
";Ateliers collectifs;Tout public et public en insertion professionnelle;
INSERTION ET FORMATION PROFESSIONNELLE;ICOM Provence;;103 Avenue du Maréchal de Lattre de Tassigny;13009;Marseille;Formation profesionnelle ;Tel: 04 91 82 34 93 Mail: contact@icomprovence.net, ergoicom@gmail.com;"1- OUTILS & LOGICIELS ADAPTÉS
Les paramètres d’accessibilité de Windows et mac
Les alternatives au clavier et à la souris
Les différents claviers virtuels
Les interfaces tactiles
Usage de logiciels de reconnaissance vocale
Grossissement d’écran avec synthèse vocale
Les différents outils d’aide à la communication
Mise en place progressive de l’ordinateur en classe
2- BUREAUTIQUE & MULTIMÉDIA
Word (bureautique)
Excel (bureautique)
Powerpoint (bureautique)
Audacity (traitement audio)
Gimp (graphisme)
Illustrator (graphisme)
Création de sites internet
3- PRÉVENTION & SENSIBILISATION
Prévenir les risques liés à Internet et aux réseaux sociaux
Recevoir et accompagner du public en situation de handicap
";Démonstration et mise en pratique des différents outils et logiciels abordés. Mise en situation Les versions d’évaluation de certains logiciels gratuits pourront être fournies, mise à disposition des outils. Alternance théorie et pratique.;Plusieurs formations sont  proposées. Celles-ci peuvent être effectuées de façon indépendante ou cumulé. ;Professionnels du médical ou paramédical, professionnels intervenants auprès du public handicapé, salariés en situation de handicap, et des AVS. Animateur multimédia, formateurs TIC, médiateur éducatif. ;
INSERTION ET FORMATION PROFESSIONNELLE;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN de la Médiathèque de Martigues;Quai des Anglais;13500;Martigues;Atelier « Comment postuler en ligne ;;;"Ateliers collectifs
Pratique en situation
";Activités;Demandeurs d'emplois inscrits à Pôle Emploi;
INSERTION ET FORMATION PROFESSIONNELLE;ARBORESCENCE ;;374,rue de Lyon;13015;Marseille;Formation profesionnelle continue ;04 91 60 06 97  arbo@arborescence.net;Syste?me, bureautique, retouche d’image, Web design, re?seaux sociaux ;Me?thode active– Acque?rir/mai?triser les techniques logicielles PC ;Ateliers collectifs ;Salarie?s ;
INSERTION ET FORMATION PROFESSIONNELLE;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;Code4Kids - Train the trainer ;jpcarmona@fuvlab.org ;Formation d’animateur nume?rique en initiation au code et a? la mode?lisation 3D pour les enfants ;"Formation the?orique
• Pratique sur les supports pe?dagogiques
• Mise en situation, incidents techniques
• Informatique, Algortihmie, Javascript,
• se?lections de supports pe?dagogiques parmis Snap,
ProcessingJS, Tinkercad…";Formation;Animateur souhaitant devenir animateur nume?rique ;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;Centre socio-culturel Jean-Paul Coste;;217 avenue Jean-Paul Coste;13100;Aix-en-Provence;Accès libre à l’Espace Numérique / Accompagnement personnalisé.;Tel: 04 42 27 32 96 Mail: caraye@cscjeanpaulcoste.com;Il s’agit de mettre à disposition des adhérents et usagers un espace numérique équipé de 6 postes informatiques connectés, 6 tablettes numériques connectées, un espace de travail et de réunion. En fonction des besoins des usagers, la médiatrice numérique les accompagne dans leurs démarches sous forme d’une prise de RDV individuel.;"Outils utilisés : en fonction de la demande et des  besoins
Techniques : apprentissage pédagogique et appropriation des outils numériques
";"Accès libre à l’Espace Numérique
Accompagnement individuel
";Tout public;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN de la Médiathèque de Martigues;Quai des Anglais;13500;Martigues;Temps d'accueil libre individuel ;Tel: 04 42 80 27 97 Mail: david.morin@paysdemartigues.fr;Mettre à disposition des usagers du matériel informatique et un accès internet;1 salle de 14 postes - 1 imprimante scanner – WIFI;Accompagnement individuel;Tout public;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN de la Médiathèque de Martigues;Quai des Anglais;13500;Martigues;Mise à disposition de la ressource;Tel: 04 42 80 27 97 Mail: christine.bataglia@paysdemartigues.fr;;;A chaque fois un médiateur sera disponible pour l'ouverture de l'activité mais ne sera pas présent lors du déroulement de celle ci. Le groupe présent est entièrement pris en charge par le partenaire.;Partenaires associatif et institutionnel du territoire;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Maison de la Formation de Martigues;Quai Lucien Toulmond;13500;Martigues;Temps d'accueil libre individuel ;Tel: 04 42 49 45 98 Mail: souad.belagrouz@paysdemartigues.fr;Mettre à disposition des usagers du matériel informatique et un accès internet;2 salles 10+5 postes - imprimante et scanner;Accompagnement individuel;Tout public;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Maison de la Formation de Martigues;Quai Lucien Toulmond;13500;Martigues;Mise à disposition de la ressource;Tel: 04 42 49 45 98 Mail: christine.bataglia@paysdemartigues.fr;;;A chaque fois un médiateur sera disponible pour l'ouverture de l'activité mais ne sera pas présent lors du déroulement de celle ci. Le groupe présent est entièrement pris en charge par le partenaire.;Partenaires associatif et institutionnel du territoire;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Maison des Services aux Publics;Rue Charles Nedelec;13110;Port-de-Bouc;Temps d'accueil libre individuel ;Tel: 04 42 40 65 12 Mail: elodie.gues@paysdemartigues.fr;Mettre à disposition des usagers du matériel informatique et un accès internet;1 salle 7 postes - 1 scanner – 1 imprimante;Accompagnement individuel;Tout public;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Maison des Services aux Publics;Rue Charles Nedelec;13110;Port-de-Bouc;Mise à disposition de la ressource;;;;A chaque fois un médiateur sera disponible pour l'ouverture de l'activité mais ne sera pas présent lors du déroulement de celle ci. Le groupe présent est entièrement pris en charge par le partenaire.;Partenaires associatif et institutionnel du territoire;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Bibliothèque municipale Charles Rostaing ;Rue Pierre et Marie Curie;13920;Saint-Mître-les-Remparts;Temps d'accueil libre individuel ;Mail: cyril.catenne@paysdemartigues.fr;Mettre à disposition des usagers du matériel informatique et un accès internet;;Accompagnement individuel;Tout public;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN de la Médiathèque de Martigues;Quai des Anglais;13500;Martigues;EPN Box;Tel: 04 42 80 27 97 Mail: vincent.laroche@paysdemartigues.fr, david.morin@paysdemartigues.fr;Sur le même principe que la BiblioBox, l'EPN Box diffusera un signal Wifi sur l'EPN où il sera  installé. Les personnes se connectant dessus auront accès à son contenu en libre téléchargement. Le contenu pourra être le suivant : Logiciels libres, supports d'ateliers, jeux et vidéos créés par les EPN.;;;;
MATERIELS ET AUTRES DISPOSITIFS NUMERIQUES;Bibliothe?que De?partementale des Bouches du Rho?ne;;20 Rue Mire?s ;13303;Marseille;Salle d’actualite? ;Tel: 04 13 31 83 09 Mail: solange.gentile@cg13.fr;Ve?ritable lieu d’e?changes et de rencontres, centre de ressources et activite?s multime?dia destine?es a? tous, incite a? la fois a? la cre?ation et a? la me?diation nume?rique, a? la de?couverte de l’actualite?, a? l’autoformation.;7 postes d’acce?s a? Internet ou a? des ressources d’autoformation, 8 tablettes avec des se?lections d’applications de?die?es aux enfants.;;Tout public ;
NUMERIQUE CITOYEN;Accès Informatique et Multimédia ;Maison Vie Associative,;Le Ligourès, place Romée de Villeneuve,;13090;Aix en Provence;Reporters de quartiers;Tel : 09 80 47 72 01 Mail : acces-informatique@live.fr ;Ils réalisent des reportages sur certaines manifestations associatives, festives, sportives, culturelles… qui ont lieu tout au long de l’année. Les reportages des équipes de reporters font l’objet d’articles de presse, de contenu de sites internet, de séances de projections publiques où sont invités les habitants du quartier, les acteurs impliqués, les institutionnels, les financeurs…;Ordinateurs portables, tablettes, appareils photos numériques, caméscopes, vidéo projecteurs, supports de cours ;Constitution d’équipes de reporters, accompagnement lors des reportages et des ateliers.;;
NUMERIQUE CITOYEN;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Ateliers Open Data;04 42 64 59 75 coordnum@anonymal.tv;Fact-checking, collecte de données, datavisualisation, production de données...;Atelier en groupe jusqu'à 15 personnes, ordinateurs à disposition, vidéoprojection. Présentation de l'animateur, mise en pratique sur des cas concrets.;Activités et stage de loisirs;Tout public, public jeune, associations, collectivités, élus, entreprises.;
NUMERIQUE CITOYEN;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;Accompagnement Cre?ation de Fablab ;jpcarmona@fuvlab.org ;"L’accompagnement se de?roule en plusieurs phases de projets qui s’e?talent sur 6 mois. A chaque phase correspond une liste d’activite? et un accompagnement en assistance a? maitrise d’ouvrage :
• Etude de cadrage : cadre logique, pe?rime?tre, budget, de?finition du local ide?al, de?finition de l'e?quipe ide?ale, calendrier du projet
• Constitution de l’e?quipe : aide au recrutement de l’e?quipe d’animateur/formateur, formation des employe?s et des be?ne?voles
• Pre?paration des activite?s : choix et acquisition de l’outillage, programmation d’e?venements et ateliers, choix et ame?nagement du local
• Communication : identite? visuelle, dossier de presse, relation presse, site web, animation des re?seaux sociaux, organisation d’e?venements
• Gestion financie?re : budget du fablab, tarif et volume des activite?s payantes, financement, comptabilite? ge?ne?rale, facturation, rapport financier
• Gestion administrative : gestion des adhe?rents, suivi des activite?s, rapport moral, comptabilite? analytique
• De?marrage d’activite? : accompagnement aux premiers ateliers, aux premiers travaux administratifs, aux premiers travaux de maintenance
• Garantie : assistance sur demande a? distance ou sur place";Etude de cadrage, Gestion de projet, budget pre?visionnel et des outils financiers. Techniques de vente et de communication : Redmine, ProjectLibre, Mailchimp, Wordpress, re?seaux sociaux ;Assistance a? maitrise d’ouvrage, formation, conseil. Une partie de l’accompagnement se fera dans les locaux de la commune ou de la communaute? de commune, certaines actions aurons lieux dans nos locaux, possibilite? de travaille? a? distance ;Commune, communaute? de commune, entreprise publique ou prive?e;
NUMERIQUE CITOYEN;Centre socio-culturel Jean-Paul Coste;;217 avenue Jean-Paul Coste;13100;Aix-en-Provence;Audiovisuel Participatif;cultures@cscjeanpaulcoste.com;Initiation aux techniques audiovisuelles participatives et journalisme citoyen. Dans le cadre des actions menées avec les centres aérés et des partenariats avec collèges, lycées et acteurs culturels locaux.;"Outils utilisés : kit audiovisuels, logiciels de montage vidéo
Techniques : apprentissage pédagogique, théorique et appropriation des outils numériques
";Activité et Stage de Loisirs;"Public jeune en majorité
Tout public en fonction de l’activité
";
NUMERIQUE CITOYEN;Centre socio-culturel Jean-Paul Coste;;217 avenue Jean-Paul Coste;13100;Aix-en-Provence;Mapping Partys;Tel: 04 42 27 32 96 Mail: caraye@cscjeanpaulcoste.com;Initiation et découverte de la cartographie collaborative permettant d’agir sur son territoire et de partir à la rencontre des acteurs locaux. Re-découvrir son patrimoine culturel et permettre un échange entre acteurs du territoire.;"Outils utilisés : openstreetmap, calque chimère, application Geocaching
Techniques : appropriation de l’outil de manière ludique par l’organisation de balade, sorties, activités autour du patrimoine culturel. 
";"Activité et Stage de Loisirs
Accompagnement individuel
";"Enfants et Jeunes des Accueils Collectifs de Mineurs
Tout public
Animateurs de la structure
";
NUMERIQUE CITOYEN;Urban Prod;;18 rue Colbert;13001;Marseille;Mise en place d'une stratégie OpenData ;Tel: 06 53 32 08 70  Mail: sdelahaye@urbanprod.net;Accompagner les petites communes dans la mise en place d'une stratégie de libération des données numériques (OpenData) afin de se conformer à la loi et de trouver par ce biais des relais d'innovation et des économies budgétaires.;Assistance à Maîtrise d'Ouvrage.;Accompagnement mêlant étude de diagnostic, formation (élus et agents) et rapport stratégique.;Agents et élus des petites collectivités (communes, EPCI).;
NUMERIQUE CITOYEN;Urban Prod;;18 rue Colbert;13001;Marseille;MarsMédiaLab;Tel: 04 84 25 25 47 Mail: colombe@urbanprod.net;"Le MarsMedialab est un espace de création, de production et de débats sur les cultures numériques et les nouvelles formes d’apprentissage collaboratif.

Ses missions sont les suivantes : 
- évaluer, capitaliser, valoriser des projets d’expérimentation sur les cultures numériques menés à l’échelle locale et européenne 
- être un espace ressource physique et virtuel sur la médiation numérique et l'éducation aux médias
- accueillir et accompagner des jeunes entre 16 et 30 ans en volontariat et en stage via des dispositifs tels que : Service Volontaire Européen, Service Civique, stage (collège, lycée, mission local, centre d’accueil pour réfugiés…)
- accueillir du public les soirs et les week-ends : les  « Temps Libres du MarsMédialab » sont ouverts aux jeunes issus du centre ville de Marseille les soirs et les week-ends afin de proposer des activités autour de la création d’œuvres numériques. 
- répondre à des prestations de MédiaMobs : C’est un dispositif clé en main d’une couverture médiatique et numérique sur des évènements avec une équipe pluridisciplinaire et d’horizons différents, qui propose des productions Live et des animations participatives. C’est une couverture à 360° de l’évènement, en direct sur la journée, une façon de communiquer direct et participative.
";Pédagogie active. Méthodes d'animation issues de l'éducation populaire.;"Les Temps libres du MarsMédialab : accueil des publics soit au MarsMédialab soit à l’extérieur dans la caravane numérique dans le cadre d’ateliers thématiques : les jeux vidéos, la musique assistée par ordinateur, un groupe d’entraide sur les pratiques numériques, la robotique et la vidéo (voir horaires plus bas) 

Volontariat ou stage : accueil de jeunes en mission de volontariat sur une durée d’un an. Accompagnement individuel et collectif à la construction du projet personnel et professionnel du jeune. 

MediaMob : accueil des publics, animation, accompagnement à l’utilisation des réseaux sociaux et aux techniques de réalisation de reportage.
";Tout public, seul le Service Civique est limité à 25 ans et le Service Volontaire Européen à 30 ans. ;
NUMERIQUE CITOYEN;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN de la Médiathèque de Martigues;Quai des Anglais;13500;Martigues;Cartopartie Open Street Map;Tel: 04 42 80 27 97 Mail: vincent.laroche@paysdemartigues.fr;;Participatif;Activité sous forme d'ateliers collectifs;Tout public;
NUMERIQUE CITOYEN;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Bibliothèque municipale Charles Rostaing ;Rue Pierre et Marie Curie;13920;Saint-Mître-les-Remparts;Cartopartie Open Street Map;Mail: cyril.catenne@paysdemartigues.fr;;Participatif;Activité sous forme d'ateliers collectifs;Tout public;
PRATIQUES COLLABORATIVES;ADPEI;;18 Boulevard Camille Flammarion;13001;Marseille;Promouvoir la participation des bénéficiaires de l’action sociale par un projet collectif numérique;Tel : 06 37 75 70 18 Mail : v.reveau@adpei.org ;"Création d’un groupe projet constitué de travailleurs sociaux et de bénéficiaires; Initiation aux outils numériques et multimédia : tablettes, facebook, vidéo, photo; Conception et création en équipe projet d’une vidéo (reportage ou fiction); Diffusion de ce film sur les réseaux sociaux";La méthodologie utilisée a été développée au cours de plusieurs projets avec des structures sociales et médico-sociales. Elle permet de créer une dynamique collective et de prendre en compte les spécificités du travail social. Outils : ordinateurs, appareils photo, caméra;Formation – Action. Le groupe projet utilise les outils numériques, vidéo et photo avec l’objectif de réaliser une production vidéo collective. Cette action permet l’utilisation et l’apprentissage des outils numériques et multimédia et de créer une dynamique de participation autour d’un projet collaboratif.;Professionnels, bénéficiaires et administrateurs de l’action sociale et médico-sociale;
TRANSITION NUMERIQUE DES ENTREPRISES;AssoDev-MarsNet;Mesclun;14 rue Berlioz;13006;Marseille;Accompagnement au Numérique Solidaire = accompagnement individuel à la transition numérique des TPE/PME de l'ESS (communication, gestion, outils collaboratifs, sites web);Tel:  06 84 04 37 01 Mail: assodev@marsnet.org;Communication, gestion, outils collaboratifs, sites web;"Entretien individuel sur rendez-vous, par téléphone ou via internet (mail, listes, dialogue en direct,)
Ecoute, analyse et diagnostic des usages et besoins, étude et recherche de solutions, démonstrations";Accompagnement individuel;TPE/PME de l'ESS, acteurs d'activités solidaires,  sociales ou citoyennes : associations, collectifs, ESS, bénévoles;
TRANSITION NUMERIQUE DES ENTREPRISES;AssoDev-MarsNet;Mesclun;14 rue Berlioz;13006;Marseille;ATELIER d'ENTRAIDE au NUMERIQUE SOLIDAIRE;Tel:  06 84 04 37 01 Mail: assodev@marsnet.org;;Regroupement sous forme d'atelier d'entraide pour la pratique de services web et logiciels libres, conçu et rythmé par un animateur professionnel.;Ateliers collectifs;TPE/PME de l'ESS, acteurs d'activités solidaires,  sociales ou citoyennes : associations, collectifs, ESS, bénévoles;
TRANSITION NUMERIQUE DES ENTREPRISES;AssoDev-MarsNet;Mesclun;14 rue Berlioz;13006;Marseille;HEBERGEMENT WEB et SERVICES en LIGNE ;Tel:  06 84 04 37 01 Mail: assodev@marsnet.org;Site, boite mails, liste de discussion, mailing lists, outils collaboratifs, cloud, serveurs mutualisé et dédiés…, mise à disposition d'infrastructure d'hébergement de services web ;Mutualisation de moyens techniques (infrastructure et serveurs) et humains (équipe technique) pour permettre aux TPE/PME de l'ESS d'être propriétaires de leur propre serveur pour l’hébergement et de g;Matériels, équipements et infrastructures;TPE/PME de l'ESS, acteurs d'activités solidaires,  sociales ou citoyennes : associations, collectifs, ESS, bénévoles;
INSERTION ET FORMATIONS PROFESSIONNELLES ;ERIC Cyber-base du Luc en Provence;;16, rue de la République;83340;LE LUC EN PROVENCE;;Tel: 09 75 96 75 34, Mail: v.kaczmarek@mairie-leluc.fr;"Atelier collectif co-animé par l’animateur multimédia de l'ERIC Cyber-base et par un Conseiller Emploi du Pôle Emploi du Cannet Coeur du Var.
L'atelier comporte 2 axes : 
- Accroitre l’autonomie du demandeur d’emploi sur l’outil : clavier, souris, recherche internet ...
- Découvrir les principales fonctionnalités du site www.pole-emploi.fr : la page d’accueil, l’espace personnel et ses différentes rubriques : échanges avec Pôle emploi, création de CV, recherche et abonnement aux offres …
";"Site internet : www.pole-emploi.fr 
Outils et services de l’Emploi Store
";Activité / Stage de loisir (ateliers collectifs);Public demandeur d’emploi, inscrit à Pôle Emploi;
ADMINISTRATION EN LIGNE;ERIC Cyber-base du Luc en Provence;;16, rue de la République;83340;LE LUC EN PROVENCE;;Tel: 09 75 96 75 34, Mail: v.kaczmarek@mairie-leluc.fr;Accompagnement des usagers dans leurs démarches administratives et socioprofessionnelles en ligne (Pôle emploi, CAF, Assurance maladie, Impôts …);sites internet : www.pole-emploi.fr / www.caf.fr / www.impots.gouv.fr / http://www.ameli.fr et interlocuteurs de ces différents organismes;Accompagnement individuel (et/ou collectif en cas de forte demande) ;Tout public;
ACCULTURATION ET EDUCATION NUMERIQUE;ERIC Cyber-base du Luc en Provence;;16, rue de la République;83340;LE LUC EN PROVENCE;;Tel: 09 75 96 75 34, Mail: v.kaczmarek@mairie-leluc.fr;"Cycle d’initiation composé de 6 ateliers de 2H, à raison d’un atelier par semaine.
Programme :
- La souris
- Le clavier
- Les fenêtres et le menu Démarrer
- Les fichiers et les dossiers
- La navigation internet
- Envoyer un mail
";Cours magistral et Exercices pratiques interactifs;Ateliers collectifs;Public débutant;
PARTICIPATION CITOYENNE;ERIC Cyber-base du Luc en Provence;;16, rue de la République;83340;LE LUC EN PROVENCE;;Tel: 09 75 96 75 34, Mail: v.kaczmarek@mairie-leluc.fr;"Utilisation des outils de bureautique pour la réalisation d'affiches, la rédaction d'articles et la mise en page du journal des résidents de l'Hôpital
- Réalisation de BD, livrets, calendriers, graffitis, films et autres supports multimédia ...
- Utilisation de la messagerie mail et des logiciels de visioconférence pour échanger et dialoguer avec les proches
- Utilisation d'internet pour suivre les actualités, rechercher des informations, visionner des vidéos, faire des jeux en ligne et du loisir
";"Matériel et outils adaptés au public handicapé (grand écran, loupe numérique, clavier spécial mal voyant, trackball, locaux et postes aménagés pour personnes à mobilité réduite.
Logiciels de bureautique (word), de montage vidéo (Movie Maker), et outils 2.0 en ligne (www.tagxedo.com / http://www.graffiticreator.net / https://www.kalendrier.com / http://www.comiclife.fr …)
";Ateliers collectifs;Public de l’Hôpital Local Départemental du Luc en Provence;
ACCULTURATION ET EDUCATION NUMERIQUE;ERIC Cyber-base du Luc en Provence;;16, rue de la République;83340;LE LUC EN PROVENCE;;Tel: 09 75 96 75 34, Mail: v.kaczmarek@mairie-leluc.fr;"Apprentissage de l'informatique et initiation aux outils multimédia
- Éducation aux droits et usages de l'internet
- Conseils et prévention auprès des enfants et de leurs parents
- Révisions scolaires par le biais de logiciels éducatifs et d'activités ludiques et pédagogiques
- Proposition et mise à disposition de ressources pour l'apprentissage
- Réalisation de BD, livrets, calendriers, graffitis, œuvres en Light Painting et autres créations multimédia ...
- Débats autour de thématiques éducatives telles que la citoyenneté, l'environnement, le handicap ou l'alimentation
";"Programme et ressources de l’Education Nationale
- Logiciels de bureautique (word), de montage vidéo (Movie Maker), et outils 2.0 en ligne (www.tagxedo.com / http://www.graffiticreator.net / https://www.kalendrier.com / http://www.comiclife.fr …)
- Sites de soutien scolaire en ligne (www.soutien67.free.fr
(www.logicieleducatif.fr / www.ladictee.fr / www.jeuxmaths.fr / www.matoumatheux.ac-rennes.fr / www.aidemoi.net / www.uptoten.com/enfants/uptoten-home.html / www.ladictee.fr)
- Ressources sur les droits et usages d’internet et les bonnes pratiques d'internet :
(www.internetsanscrainte.fr/s-informer/parents-informez-vous
www.jeunes.cnil.fr/parents/fiches-pratiques)
";Ateliers collectifs;Enfants de 8 à 14 ans;
